Waterbody OGF ID,Zone Number,Species,Species French,Season,Season French,Limit,Limit French,Size Limit Only,Size Limit Only French,Waterbody Description,Waterbody Description French,Effective Date,Expiry Date
125207749,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"O’Dell Lake (49°24'01""N., 91°35'10""W.) - Skey Township","Lac O’Dell (49° 24' 01""N., 91° 35' 10""O.) - canton de Skey",01/01/2022,12/31/2022
125207749,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"O’Dell Lake (49°24'01""N., 91°35'10""W.) - Skey Township","Lac O’Dell (49° 24' 01""N., 91° 35' 10""O.) - canton de Skey",01/01/2022,12/31/2022
125207750,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Reguly Lake (49°38'01""N., 91°43'40""W.)","Lac Reguly (49° 38' 01""N., 91° 43' 40""O.)",01/01/2022,12/31/2022
125207750,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Reguly Lake (49°38'01""N., 91°43'40""W.)","Lac Reguly (49° 38' 01""N., 91° 43' 40""O.)",01/01/2022,12/31/2022
125207751,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Shrimp Lake (49°35'26""N., 91°38'55""W.)","Lac Shrimp (49° 35' 26""N., 91° 38' 55""O.)",01/01/2022,12/31/2022
125207751,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Shrimp Lake (49°35'26""N., 91°38'55""W.)","Lac Shrimp (49° 35' 26""N., 91° 38' 55""O.)",01/01/2022,12/31/2022
125207752,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Snowstorm Lake (49°37'17""N., 91°43'27""W.)","Lac Snowstorm (49° 37' 17""N., 91° 43' 27""O.)",01/01/2022,12/31/2022
125207752,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Snowstorm Lake (49°37'17""N., 91°43'27""W.)","Lac Snowstorm (49° 37' 17""N., 91° 43' 27""O.)",01/01/2022,12/31/2022
125207753,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Snyder Lake (50°03'52""N., 92°04'40""W.) - Drayton Township","Lac Snyder (50° 03' 52""N., 92° 04' 40""O.) - canton de Drayton",01/01/2022,12/31/2022
125207753,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Snyder Lake (50°03'52""N., 92°04'40""W.) - Drayton Township","Lac Snyder (50° 03' 52""N., 92° 04' 40""O.) - canton de Drayton",01/01/2022,12/31/2022
125207754,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S - 5,S - 5,No size limits,Aucune limite de taille,"Wreck Lake (50°02'50""N., 94°08'13""W.)","Lac Wreck (50° 02' 50""N., 94° 08' 13""O.)",01/01/2022,12/31/2022
125207754,4,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C - 2,C - 2,No size limits,Aucune limite de taille,"Wreck Lake (50°02'50""N., 94°08'13""W.)","Lac Wreck (50° 02' 50""N., 94° 08' 13""O.)",01/01/2022,12/31/2022
125207756,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Adrian Lake (48°27'10""N., 89°48'58""W.) - Adrian Township","Lac Adrian (48° 27' 10""N., 89° 48' 58""O.) - canton d'Adrian",01/01/2022,12/31/2022
125207756,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Adrian Lake (48°27'10""N., 89°48'58""W.) - Adrian Township","Lac Adrian (48° 27' 10""N., 89° 48' 58""O.) - canton d'Adrian",01/01/2022,12/31/2022
125207757,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,S-5; no size limit,S-5; Aucune limite de taille,No size limits,Aucune limite de taille,"Aldina Lake (48°21'31""N., 89°58'41""W.) - Aldina Township","Lac Aldina (48° 21' 31""N., 89° 58' 41""O.) - canton d'Aldina",01/01/2022,12/31/2022
125207757,6,Brook Trout,Omble de fontaine,Open all year,Pêche ouverte toute l’année,C-2; no size limit,C-2; Aucune limite de taille,No size limits,Aucune limite de taille,"Aldina Lake (48°21'31""N., 89°58'41""W.) - Aldina Township","Lac Aldina (48° 21' 31""N., 89° 58' 41""O.) - canton d'Aldina",01/01/2022,12/31/2022
