Waterbody OGF ID,Waterbody Location Identifier,Official Name,Official French Name,Unofficial Name,Latitude,Longitude,Effective Date,Expiry Date
125209687,17-5121-51916,Pothole Lake,lac Pothole,,46.88006,-80.84147,01/01/2022,12/31/2022
125209687,17-5123-52719,Crawford Lake,lac Crawford,,47.6030399,-80.8358165,01/01/2022,12/31/2022
125209687,17-5124-51727,Little Amy Lake,petit lac Amy,,46.71106,-80.8367444,01/01/2022,12/31/2022
125209687,17-5124-52014,Camp Three Lake,lac Camp Three,,46.9684267,-80.8377498,01/01/2022,12/31/2022
125209687,17-5125-51886,Bass Lake,lac Bass,,46.8538341,-80.8360255,01/01/2022,12/31/2022
125209687,17-5125-52679,Callinan Lake,lac Callinan,,47.5650175,-80.8420619,01/01/2022,12/31/2022
125209687,17-5115-51753,West Bay,baie West,,46.73388,-80.84547,01/01/2022,12/31/2022
125209687,17-5153-51809,Post Creek,ruisseau Post,,46.7746657,-80.8054844,01/01/2022,12/31/2022
125209687,17-5138-52680,Bone Lake,lac Bone,,47.5633529,-80.8216358,01/01/2022,12/31/2022
125209687,17-5150-52773,North Arm,bras North,,47.65374,-80.7958,01/01/2022,12/31/2022
125209687,17-5151-51960,Deer Lake,lac Deer,,46.91951,-80.80119,01/01/2022,12/31/2022
125209687,17-5151-52439,Desert Lake,lac Desert,,47.3453225,-80.7927518,01/01/2022,12/31/2022
125209687,17-5151-52513,Mile Lake,lac Mile,,47.4238799,-80.8199055,01/01/2022,12/31/2022
125209687,17-5151-52531,Crown Lake,lac Crown,,47.4391328,-80.7935013,01/01/2022,12/31/2022
125209687,17-5151-52624,Flanagan Lake,lac Flanagan,,47.5089725,-80.80815,01/01/2022,12/31/2022
125209687,17-5152-51923,Mud Lake,lac Mud,,46.8863136,-80.79914,01/01/2022,12/31/2022
125209687,17-5152-52045,Lingo Lake,lac Lingo,,46.99589,-80.7998,01/01/2022,12/31/2022
125209687,17-5150-52753,Beaton Bay,baie Beaton,,47.63093,-80.79328,01/01/2022,12/31/2022
125209687,17-5153-51569,Norway Lake,lac Norway,,46.56572,-80.81001,01/01/2022,12/31/2022
125209687,17-5150-52736,Milner Bay,baie Milner,,47.6362,-80.80686,01/01/2022,12/31/2022
125209687,17-5155-51941,Loon Lake,lac Loon,,46.90228,-80.79647,01/01/2022,12/31/2022
125209687,17-5156-51907,Sam Martin Lake,lac Sam Martin,,46.8733012,-80.7938423,01/01/2022,12/31/2022
125209687,17-5159-52029,,,Moon Lake (Unofficial Name),46.981462,-80.7907428,01/01/2022,12/31/2022
125209687,17-5160-52748,Gowganda Lake,lac Gowganda,,47.6252656,-80.7910928,01/01/2022,12/31/2022
