Fish Sanctuary OGF ID,Latitude,Longitude,Effective Date,Expiry Date
107035545,50.15222,-92.46806,01/01/2022,12/31/2022
107035546,50.3444758,-91.6653713,01/01/2022,12/31/2022
107035547,50.6546128,-93.1601473,01/01/2022,12/31/2022
107035548,49.0623999,-92.1342984,01/01/2022,12/31/2022
107035549,49.0010476,-91.7224129,01/01/2022,12/31/2022
107035550,49.5090469,-92.9974508,01/01/2022,12/31/2022
107035551,48.9752731,-93.0754165,01/01/2022,12/31/2022
107035552,49.8140652,-94.3216761,01/01/2022,12/31/2022
107035553,49.7733025,-94.7362214,01/01/2022,12/31/2022
107035554,50.0012629,-92.9582113,01/01/2022,12/31/2022
107035555,49.9988489,-92.9714395,01/01/2022,12/31/2022
107035556,49.1139255,-93.9286968,01/01/2022,12/31/2022
107035557,48.2977132,-92.3753349,01/01/2022,12/31/2022
107035558,49.0545693,-92.0608185,01/01/2022,12/31/2022
107035559,49.9226325,-93.6032868,01/01/2022,12/31/2022
107035560,49.7200406,-92.592902,01/01/2022,12/31/2022
107035561,49.5866377,-93.2046465,01/01/2022,12/31/2022
107035562,48.8164836,-93.2152217,01/01/2022,12/31/2022
107035563,48.8438811,-92.7571487,01/01/2022,12/31/2022
107035564,48.551893,-92.5388722,01/01/2022,12/31/2022
107035565,48.5585794,-92.5386551,01/01/2022,12/31/2022
107035566,48.801944,-93.5057916,01/01/2022,12/31/2022
107035567,48.916996,-93.2735317,01/01/2022,12/31/2022
107035568,48.8132174,-92.9174586,01/01/2022,12/31/2022
107035569,48.5956847,-92.6650583,01/01/2022,12/31/2022
107035570,48.494649,-92.6411231,01/01/2022,12/31/2022
107035571,49.9857676,-92.9458935,01/01/2022,12/31/2022
107035572,49.073212,-92.2035741,01/01/2022,12/31/2022
107035573,49.2961245,-92.7198101,01/01/2022,12/31/2022
107035574,49.0791544,-92.1422059,01/01/2022,12/31/2022
107035575,48.2886729,-92.3454786,01/01/2022,12/31/2022
107035576,49.0222646,-92.8877686,01/01/2022,12/31/2022
107035577,49.7334035,-92.6516316,01/01/2022,12/31/2022
107035578,49.5915187,-92.4891495,01/01/2022,12/31/2022
107035579,49.1106829,-91.8769512,01/01/2022,12/31/2022
107035580,48.83484675,-90.19627805,01/01/2022,12/31/2022
107035581,48.2308759,-90.8386206,01/01/2022,12/31/2022
107035582,48.609357,-90.4627598,01/01/2022,12/31/2022
107035583,48.542235,-90.5463616,01/01/2022,12/31/2022
107035584,48.6502167,-90.4176122,01/01/2022,12/31/2022
107035585,49.8777193,-88.9650225,01/01/2022,12/31/2022
107035586,48.118184,-90.5977398,01/01/2022,12/31/2022
107035587,48.9549276,-90.2536342,01/01/2022,12/31/2022
107035588,48.2460411,-90.7909763,01/01/2022,12/31/2022
107035589,48.4201329,-89.264696,01/01/2022,12/31/2022
107035590,49.1310774,-88.3546262,01/01/2022,12/31/2022
107035591,49.0208373,-88.2513582,01/01/2022,12/31/2022
107035592,49.0894329,-88.3261775,01/01/2022,12/31/2022
107035593,49.5963565,-90.4157178,01/01/2022,12/31/2022
107035594,48.897184,-90.1374882,01/01/2022,12/31/2022
107035595,48.5767879,-90.535429,01/01/2022,12/31/2022
107035596,48.516611,-90.5575381,01/01/2022,12/31/2022
107035597,48.6239437,-90.091911,01/01/2022,12/31/2022
107035598,48.5354046,-90.5397198,01/01/2022,12/31/2022
107035599,48.336394,-90.3055773,01/01/2022,12/31/2022
107035600,48.3585076,-90.6466118,01/01/2022,12/31/2022
107035601,48.683991,-93.3859084,01/01/2022,12/31/2022
107035602,49.7698247,-94.5343935,01/01/2022,12/31/2022
107035603,48.7133952,-85.778579,01/01/2022,12/31/2022
107035604,48.616153,-84.6851953,01/01/2022,12/31/2022
107035605,48.0491834,-85.3648293,01/01/2022,12/31/2022
107035606,49.0124889,-86.7356236,01/01/2022,12/31/2022
107035607,49.2861915,-86.3127877,01/01/2022,12/31/2022
107035608,48.6991942,-85.8162477,01/01/2022,12/31/2022
107035609,47.8367851,-83.4529823,01/01/2022,12/31/2022
107035610,47.8453771,-83.4079256,01/01/2022,12/31/2022
107035611,48.9114726,-86.1525638,01/01/2022,12/31/2022
107035612,48.2549641,-85.0826363,01/01/2022,12/31/2022
107035613,48.0784454,-83.8526329,01/01/2022,12/31/2022
107035614,48.2939252,-84.049229,01/01/2022,12/31/2022
107035615,48.2290771,-84.2136891,01/01/2022,12/31/2022
107035616,48.3511276,-84.1337101,01/01/2022,12/31/2022
107035617,48.306854,-84.0097399,01/01/2022,12/31/2022
107035618,48.2893594,-83.9606153,01/01/2022,12/31/2022
107035619,48.359379,-84.1830548,01/01/2022,12/31/2022
107035620,47.9226345,-83.4255244,01/01/2022,12/31/2022
107035621,48.3157805,-84.9684848,01/01/2022,12/31/2022
107035622,49.2571543,-86.4343691,01/01/2022,12/31/2022
107035623,48.0734503,-83.8446167,01/01/2022,12/31/2022
107035624,48.0827285,-84.552211,01/01/2022,12/31/2022
107035625,49.4604167,-85.5424214,01/01/2022,12/31/2022
107035626,48.9896507,-86.2683604,01/01/2022,12/31/2022
107035627,48.2916785,-84.9783973,01/01/2022,12/31/2022
107035628,48.2964986,-84.9499781,01/01/2022,12/31/2022
107035629,48.8736564,-84.3573475,01/01/2022,12/31/2022
107035630,48.9390572,-84.5484659,01/01/2022,12/31/2022
